course_id	lesson_id	step_id	order	original_text	problem_type	recommended_action	atomic_replacements	notes_replacement	owner	shared_phrase_ids	qa_status
course_l_3	course_l_3_l3	course_l_3_l3_o9	9	Цена не та, что на табличке	compound_action	split_into_atomic_cards	«Цена не та» / «что на табличке»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_3	course_l_3_l6	course_l_3_l6_o9	9	Давайте пересчитаем	review	review_for_naturalness	«Давайте пересчитаем» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_l_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_3	course_l_3_l6	course_l_3_l6_o10	10	Вот столько, правильно?	compound_action	split_into_atomic_cards	«Вот столько» / «правильно?»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_4	course_l_4_l2	course_l_4_l2_o4	4	Супы и рис	noun_list	keep_as_one_target	«Супы» / «рис»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_l_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_6	course_l_6_l3	course_l_6_l3_o8	8	Когда починят?	short_question	keep_or_review	«Когда починят?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_6	course_l_6_l3	course_l_6_l3_o11	11	Можно починить сегодня?	short_question	keep_or_review	«Можно починить сегодня?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_6	course_l_6_l4	course_l_6_l4_o9	9	Позвоните когда готово	review	review_for_naturalness	«Позвоните» / «готово»	Автофлаг недостаточен; проверить у методиста.	course_l_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_6	course_l_6_l7	course_l_6_l7_o6	6	Когда починят?	short_question	keep_or_review	«Когда починят?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_6	course_l_6_l7	course_l_6_l7_o11	11	Позвоните, когда будет готово	compound_action	split_into_atomic_cards	«Позвоните» / «когда будет готово»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_7	course_l_7_l4	course_l_7_l4_o8	8	Когда едем?	short_question	keep_or_review	«Когда едем?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_7	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
