course_id	lesson_id	source_step_id	parent_source_step_id	action	kind	order	ru	thai	phonetic	tip	scenario	lifehack_or_glitch	qa_status
course_l_3	course_l_3_l3	course_l_3_l3_o9	course_l_3_l3_o9	replace	phrase	9	На ценнике другая цена.	ราคาบนป้ายไม่ตรงครับ	raa-khaa bon bpâai mâi dtrong khráp	Сообщи, что цена на ценнике не совпадает.			native_review_required
course_l_3	course_l_3_l3	course_l_3_l3_o9__part_2	course_l_3_l3_o9	add	phrase	11	На кассе цена другая.	ราคาที่แคชเชียร์ไม่ตรงครับ	raa-khaa thîi khaet-chîa mâi dtrong khráp	Сообщи, что цена на кассе отличается.			native_review_required
course_l_3	course_l_3_l6	course_l_3_l6_o9	course_l_3_l6_o9	replace	phrase	9	Давайте пересчитаем	นับใหม่กันครับ	napaimkankhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_3	course_l_3_l6	course_l_3_l6_o10	course_l_3_l6_o10	replace	phrase	10	Вот столько	เท่านี้	thaoni	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_3	course_l_3_l6	course_l_3_l6_o10__part_2	course_l_3_l6_o10	add	phrase	12	Правильно?	ถูกไหมครับ	thukmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_4	course_l_4_l2	course_l_4_l2_o4	course_l_4_l2_o4	replace	phrase	4	Супы	ซุป	sup	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_4	course_l_4_l2	course_l_4_l2_o4__part_2	course_l_4_l2_o4	add	phrase	10	Рис	ข้าว	khao	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_6	course_l_6_l3	course_l_6_l3_o8	course_l_6_l3_o8	replace	phrase	8	Когда будет готово?	จะเสร็จเมื่อไหร่ครับ	jà sèt mûea-rài khráp	Спроси срок готовности ремонта.			native_review_required
course_l_6	course_l_6_l3	course_l_6_l3_o11	course_l_6_l3_o11	replace	phrase	11	Можно починить сегодня?	ซ่อมวันนี้ได้ไหมครับ	somwannidaimaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_6	course_l_6_l4	course_l_6_l4_o9	course_l_6_l4_o9	replace	phrase	9	Позвоните	โทรบอกผม	thonbokphom chan	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
