LESSONS 7

LESSON course_l_1_l1 | Вежливо на посту | Приветствие и документы без стресса
  STEP 1 | tip | На посту улыбка и спокойный тон важнее идеального произношения. | None | None
  STEP 2 | phrase | Вот документы | นี่ครับ พาสปอร์ต | ни→ кхрап→ пас→ порт→
  STEP 3 | word | Документы | เอกสาร | эк→ ка→ сан→
  STEP 4 | word | Паспорт | พาสปอร์ต | пас→ порт→
  STEP 5 | phrase | Штамп в паспорте | ตราประทับในพาสปอร์ต | тра→ пра→ тхап→ най→ пас→ порт→
  STEP 6 | phrase | Вот виза | นี่วีซ่า | ни→ ви→ са↘
  STEP 7 | word | Виза | วีซ่า | ви→ са↘
  STEP 8 | phrase | Всё здесь | ครบที่นี่ | кхоп→ ти→ ни→
  STEP 9 | phrase | Проверьте | ตรวจได้ครับ | туат→ дай→ кхрап→

LESSON course_l_1_l2 | Паспорт и виза | Покажи и ответь коротко
  STEP 1 | tip | Паспорт показывают, а не пересказывают. Короткий ответ + документ. | None | None
  STEP 2 | phrase | Паспорт вот | พาสปอร์ตนี่ครับ | пас→ порт→ ни→ кхрап→
  STEP 3 | phrase | Виза до марта | วีซ่าถึงมีนา | ви→ са→ тхынг→ ми→ на→
  STEP 4 | phrase | Турист | นักท่องเที่ยว | нак→ тонг→ тиау↘
  STEP 5 | phrase | Да правильно | ใช่ครับ | чай→ кхрап↘
  STEP 6 | phrase | Нет не так | ไม่ใช่ครับ | май→ чай→ кхрап↘
  STEP 7 | word | Въезд | เข้า | кхау↘
  STEP 8 | phrase | Въезд вчера | เข้าเมื่อวาน | кхау→ мыа→ ван→
  STEP 9 | phrase | Вот штамп | นี่ตราประทับ | ни→ тра→ пра→ тхап→

LESSON course_l_1_l3 | Вопросы полиции | Куда, откуда, сколько дней — спокойно
  STEP 1 | tip | Куда / откуда / сколько дней — отвечай одной фразой. Лишняя история настораживает. | None | None
  STEP 2 | phrase | Я турист | ผม/ฉันนักท่องเที่ยว | пхом/чхан→ нак→ тонг→ тиау↘
  STEP 3 | phrase | Из России | มาจากรัสเซีย | ма→ джак→ рас→ сиа→
  STEP 4 | phrase | Сколько дней | กี่วัน | ги→ ван↗
