normalized_phrase	phrase	course	lesson
понял	понял	course_e_1	Понять
не понял	не понял	course_e_1	Понять
ясно	ясно	course_e_1	Понять
ещё раз	ещё раз	course_e_1	Понять
что значит?	что значит?	course_e_1	Понять
медленнее, пожалуйста	медленнее, пожалуйста	course_e_1	Темп
помедленнее	помедленнее	course_e_1	Темп
повторите	повторите	course_e_1	Темп
понятнее можно?	понятнее можно?	course_e_1	Темп
спасибо	спасибо	course_e_1	Темп
можно попросить?	можно попросить?	course_e_1	Мягко попросить
если можно	если можно	course_e_1	Мягко попросить
пожалуйста	пожалуйста	course_e_1	Мягко попросить
не приказ	не приказ	course_e_1	Мягко попросить
хорошо	хорошо	course_e_1	Мягко попросить
правильно?	правильно?	course_e_1	Уточнить
можно уточнить?	можно уточнить?	course_e_1	Уточнить
что вы имеете в виду?	что вы имеете в виду?	course_e_1	Уточнить
понял	понял	course_e_1	Уточнить
не уверен	не уверен	course_e_1	Уточнить
давайте спокойно	давайте спокойно	course_e_1	Тон
не спешите	не спешите	course_e_1	Тон
мягче можно?	мягче можно?	course_e_1	Тон
хорошо	хорошо	course_e_1	Тон
спасибо	спасибо	course_e_1	Тон
всё понятно	всё понятно	course_e_1	Завершить
договорились	договорились	course_e_1	Завершить
хорошо	хорошо	course_e_1	Завершить
до связи	до связи	course_e_1	Завершить
спасибо	спасибо	course_e_1	Завершить
можно попросить?	можно попросить?	course_e_2	Попросить
нужна помощь	нужна помощь	course_e_2	Попросить
нужно сделать	нужно сделать	course_e_2	Попросить
когда сможете?	когда сможете?	course_e_2	Попросить
спасибо	спасибо	course_e_2	Попросить
как статус?	как статус?	course_e_2	Статус
уже готово?	уже готово?	course_e_2	Статус
ещё не готово?	ещё не готово?	course_e_2	Статус
почти готово?	почти готово?	course_e_2	Статус
понял	понял	course_e_2	Статус
к какому сроку?	к какому сроку?	course_e_2	Срок
дедлайн когда?	дедлайн когда?	course_e_2	Срок
сегодня можно?	сегодня можно?	course_e_2	Срок
завтра можно?	завтра можно?	course_e_2	Срок
хорошо	хорошо	course_e_2	Срок
напоминаю	напоминаю	course_e_2	Напомнить
есть новости?	есть новости?	course_e_2	Напомнить
всё по плану?	всё по плану?	course_e_2	Напомнить
нужна помощь?	нужна помощь?	course_e_2	Напомнить
спасибо	спасибо	course_e_2	Напомнить
кто ведёт?	кто ведёт?	course_e_2	Команда
кто отвечает?	кто отвечает?	course_e_2	Команда
давайте вместе	давайте вместе	course_e_2	Команда
понял	понял	course_e_2	Команда
договорились	договорились	course_e_2	Команда
хороший день	хороший день	course_e_2	Контакт
спасибо за работу	спасибо за работу	course_e_2	Контакт
рад работать	рад работать	course_e_2	Контакт
до завтра	до завтра	course_e_2	Контакт
до связи	до связи	course_e_2	Контакт
давай спокойно	давай спокойно	course_e_4	Пауза
подожди	подожди	course_e_4	Пауза
минуту	минуту	course_e_4	Пауза
не сейчас	не сейчас	course_e_4	Пауза
хорошо	хорошо	course_e_4	Пауза
есть проблема	есть проблема	course_e_4	Проблема
я не понял	я не понял	course_e_4	Проблема
это не так	это не так	course_e_4	Проблема
можно уточнить?	можно уточнить?	course_e_4	Проблема
помогите	помогите	course_e_4	Проблема
извините	извините	course_e_4	Извинение
моя ошибка	моя ошибка	course_e_4	Извинение
прости	прости	course_e_4	Извинение
всё хорошо	всё хорошо	course_e_4	Извинение
спасибо	спасибо	course_e_4	Извинение
что делать?	что делать?	course_e_4	Решение
давай так	давай так	course_e_4	Решение
можно иначе?	можно иначе?	course_e_4	Решение
договорились	договорились	course_e_4	Решение
хорошо	хорошо	course_e_4	Решение
не кричи	не кричи	course_e_4	Граница
мне нужно время	мне нужно время	course_e_4	Граница
остановимся	остановимся	course_e_4	Граница
не хочу	не хочу	course_e_4	Граница
потом	потом	course_e_4	Граница
вопрос решён	вопрос решён	course_e_4	Завершение
всё нормально	всё нормально	course_e_4	Завершение
проехали	проехали	course_e_4	Завершение
спасибо	спасибо	course_e_4	Завершение
до связи	до связи	course_e_4	Завершение
можно попросить?	можно попросить?	course_e_5	Мягко попросить
пожалуйста	пожалуйста	course_e_5	Мягко попросить
если можно	если можно	course_e_5	Мягко попросить
не хочу мешать	не хочу мешать	course_e_5	Мягко попросить
спасибо	спасибо	course_e_5	Мягко попросить
не сейчас	не сейчас	course_e_5	Пауза
потом	потом	course_e_5	Пауза
давайте спокойно	давайте спокойно	course_e_5	Пауза
подождите	подождите	course_e_5	Пауза
хорошо	хорошо	course_e_5	Пауза
что значит?	что значит?	course_e_5	Уточнить
правильно?	правильно?	course_e_5	Уточнить
можно уточнить?	можно уточнить?	course_e_5	Уточнить
понял	понял	course_e_5	Уточнить
не понял	не понял	course_e_5	Уточнить
нет, спасибо	нет, спасибо	course_e_5	Мягко отказать
не надо	не надо	course_e_5	Мягко отказать
в другой раз	в другой раз	course_e_5	Мягко отказать
я подумаю	я подумаю	course_e_5	Мягко отказать
хорошо	хорошо	course_e_5	Мягко отказать
понял вас	понял вас	course_e_5	Подтвердить
всё хорошо	всё хорошо	course_e_5	Подтвердить
хорошо	хорошо	course_e_5	Подтвердить
спасибо	спасибо	course_e_5	Подтвердить
улыбка не всегда да	улыбка не всегда да	course_e_5	Контекст
уточнить лучше	уточнить лучше	course_e_5	Контекст
не угадывать	не угадывать	course_e_5	Контекст
спокойно	спокойно	course_e_5	Контекст
мягко	мягко	course_e_5	Контекст
с праздником	с праздником	course_l_11	Поздравить
с новым годом	с Новым годом	course_l_11	Поздравить
хорошего праздника	хорошего праздника	course_l_11	Поздравить
весело	весело	course_l_11	Поздравить
спасибо	спасибо	course_l_11	Поздравить
что делаем?	что делаем?	course_l_11	Присоединиться
можно посмотреть?	можно посмотреть?	course_l_11	Присоединиться
можно участвовать?	можно участвовать?	course_l_11	Присоединиться
я готов	я готов	course_l_11	Присоединиться
хорошо	хорошо	course_l_11	Присоединиться
облить можно?	облить можно?	course_l_11	Вода и Сонгкран
осторожно	осторожно	course_l_11	Вода и Сонгкран
ещё раз	ещё раз	course_l_11	Вода и Сонгкран
весело	весело	course_l_11	Вода и Сонгкран
достаточно	достаточно	course_l_11	Вода и Сонгкран
фото можно?	фото можно?	course_l_11	Фото
вместе фото?	вместе фото?	course_l_11	Фото
красиво	красиво	course_l_11	Фото
без вспышки	без вспышки	course_l_11	Фото
спасибо	спасибо	course_l_11	Фото
где праздник?	где праздник?	course_l_11	Ярмарка
что это?	что это?	course_l_11	Ярмарка
посмотреть можно?	посмотреть можно?	course_l_11	Ярмарка
сюда?	сюда?	course_l_11	Ярмарка
спасибо	спасибо	course_l_11	Ярмарка
я пойду	я пойду	course_l_11	Закончить
до встречи	до встречи	course_l_11	Закончить
хороший праздник	хороший праздник	course_l_11	Закончить
спасибо	спасибо	course_l_11	Закончить
увидимся	увидимся	course_l_11	Закончить
как стричь?	как стричь?	course_l_12	Стрижка
как на фото	как на фото	course_l_12	Стрижка
короче	короче	course_l_12	Стрижка
оставить длину	оставить длину	course_l_12	Стрижка
подровнять	подровнять	course_l_12	Стрижка
короче с боков	короче с боков	course_l_12	Детали
чёлка	чёлка	course_l_12	Детали
сзади короче	сзади короче	course_l_12	Детали
немного	немного	course_l_12	Детали
как в прошлый раз	как в прошлый раз	course_l_12	Детали
массаж плеч	массаж плеч	course_l_12	Массаж
мягче	мягче	course_l_12	Массаж
больно	больно	course_l_12	Массаж
остановитесь	остановитесь	course_l_12	Массаж
сколько минут?	сколько минут?	course_l_12	Массаж
только усы	только усы	course_l_12	Борода
оставить усы	оставить усы	course_l_12	Борода
аккуратно	аккуратно	course_l_12	Борода
форма	форма	course_l_12	Борода
брить	брить	course_l_12	Борода
сколько стоит?	сколько стоит?	course_l_12	Цена и время
сколько по времени?	сколько по времени?	course_l_12	Цена и время
скидка?	скидка?	course_l_12	Цена и время
завтра можно?	завтра можно?	course_l_12	Цена и время
хорошо	хорошо	course_l_12	Цена и время
не так	не так	course_l_12	Исправить
вот так	вот так	course_l_12	Исправить
ещё немного	ещё немного	course_l_12	Исправить
достаточно	достаточно	course_l_12	Исправить
спасибо	спасибо	course_l_12	Исправить
здесь проблема	здесь проблема	course_l_13	Сообщить проблему
вода течёт	вода течёт	course_l_13	Сообщить проблему
потолок мокрый	потолок мокрый	course_l_13	Сообщить проблему
не холодит	не холодит	course_l_13	Сообщить проблему
шумит	шумит	course_l_13	Сообщить проблему
почините, пожалуйста	почините, пожалуйста	course_l_13	Попросить ремонт
можно сегодня?	можно сегодня?	course_l_13	Попросить ремонт
срочно	срочно	course_l_13	Попросить ремонт
кто починит?	кто починит?	course_l_13	Попросить ремонт
спасибо	спасибо	course_l_13	Попросить ремонт
когда приедете?	когда приедете?	course_l_13	Договориться о визите
завтра можно?	завтра можно?	course_l_13	Договориться о визите
во сколько?	во сколько?	course_l_13	Договориться о визите
я буду дома	я буду дома	course_l_13	Договориться о визите
позвоните заранее	позвоните заранее	course_l_13	Договориться о визите
счёт, пожалуйста	счёт, пожалуйста	course_l_13	Оплата
перевод можно?	перевод можно?	course_l_13	Оплата
наличными?	наличными?	course_l_13	Оплата
чек можно?	чек можно?	course_l_13	Оплата
готово	готово	course_l_13	Оплата
всё хорошо?	всё хорошо?	course_l_13	Проверить результат
больше не течёт	больше не течёт	course_l_13	Проверить результат
теперь работает	теперь работает	course_l_13	Проверить результат
спасибо	спасибо	course_l_13	Проверить результат
до связи	до связи	course_l_13	Проверить результат
заказ	заказ	course_l_14	Заказ
доставка	доставка	course_l_14	Заказ
курьер	курьер	course_l_14	Заказ
когда привезут?	когда привезут?	course_l_14	Заказ
отследить заказ	отследить заказ	course_l_14	Заказ
дом номер	дом номер	course_l_14	Адрес
этаж	этаж	course_l_14	Адрес
улица	улица	course_l_14	Адрес
район	район	course_l_14	Адрес
у входа	у входа	course_l_14	Адрес
где заказ?	где заказ?	course_l_14	Трек
в пути	в пути	course_l_14	Трек
в сортировке	в сортировке	course_l_14	Трек
трек покажите	трек покажите	course_l_14	Трек
завтра?	завтра?	course_l_14	Трек
я еду	я еду	course_l_14	Встреча
жду у входа	жду у входа	course_l_14	Встреча
курьер где?	курьер где?	course_l_14	Встреча
домой можно?	домой можно?	course_l_14	Встреча
оставьте здесь	оставьте здесь	course_l_14	Встреча
включено?	включено?	course_l_14	Цена/доставка
доплата?	доплата?	course_l_14	Цена/доставка
минимум заказа	минимум заказа	course_l_14	Цена/доставка
завтра доставка?	завтра доставка?	course_l_14	Цена/доставка
заказываю	заказываю	course_l_14	Цена/доставка
курьер приехал	курьер приехал	course_l_14	Получение
сейчас заберу	сейчас заберу	course_l_14	Получение
всё на месте	всё на месте	course_l_14	Получение
упаковка целая	упаковка целая	course_l_14	Получение
спасибо	спасибо	course_l_14	Получение
доставка опоздала	доставка опоздала	course_l_14	Проблема
где курьер?	где курьер?	course_l_14	Проблема
завтра привезёте?	завтра привезёте?	course_l_14	Проблема
перезвоните	перезвоните	course_l_14	Проблема
трек покажите	трек покажите	course_l_14	Проблема
два пива	два пива	course_l_15	Заказ
со льдом	со льдом	course_l_15	Заказ
без льда	без льда	course_l_15	Заказ
вода	вода	course_l_15	Заказ
счёт, пожалуйста	счёт, пожалуйста	course_l_15	Заказ
дорого	дорого	course_l_15	Цена и акция
акция?	акция?	course_l_15	Цена и акция
два по цене одного	два по цене одного	course_l_15	Цена и акция
сколько?	сколько?	course_l_15	Цена и акция
хорошо	хорошо	course_l_15	Цена и акция
как тебя зовут?	как тебя зовут?	course_l_15	Короткий small talk
интересно	интересно	course_l_15	Короткий small talk
здесь весело	здесь весело	course_l_15	Короткий small talk
приятно	приятно	course_l_15	Короткий small talk
один как я?	один как я?	course_l_15	Короткий small talk
не хочу	не хочу	course_l_15	Границы
не надо	не надо	course_l_15	Границы
без фото	без фото	course_l_15	Границы
просто поговорим	просто поговорим	course_l_15	Границы
спасибо	спасибо	course_l_15	Границы
я пойду	я пойду	course_l_15	Уйти
до встречи	до встречи	course_l_15	Уйти
хороший вечер	хороший вечер	course_l_15	Уйти
спасибо за вечер	спасибо за вечер	course_l_15	Уйти
пока	пока	course_l_15	Уйти
ещё посидим?	ещё посидим?	course_l_15	Продолжить
ещё одну?	ещё одну?	course_l_15	Продолжить
завтра?	завтра?	course_l_15	Продолжить
хорошо	хорошо	course_l_15	Продолжить
посмотрим	посмотрим	course_l_15	Продолжить
такси	такси	course_l_2	Вызвать
grab	Grab	course_l_2	Вызвать
водитель	водитель	course_l_2	Вызвать
сюда	сюда	course_l_2	Вызвать
пожалуйста	пожалуйста	course_l_2	Вызвать
аэропорт	аэропорт	course_l_2	Адрес
отель	отель	course_l_2	Адрес
домой	домой	course_l_2	Адрес
вот адрес	вот адрес	course_l_2	Адрес
сюда	сюда	course_l_2	Адрес
налево	налево	course_l_2	Маршрут
направо	направо	course_l_2	Маршрут
прямо	прямо	course_l_2	Маршрут
здесь	здесь	course_l_2	Маршрут
дальше	дальше	course_l_2	Маршрут
сколько стоит?	сколько стоит?	course_l_2	Цена
по счётчику?	по счётчику?	course_l_2	Цена
дорого	дорого	course_l_2	Цена
хорошо	хорошо	course_l_2	Цена
оплата картой?	оплата картой?	course_l_2	Цена
подождите	подождите	course_l_2	В пути
сейчас	сейчас	course_l_2	В пути
ещё немного	ещё немного	course_l_2	В пути
остановите здесь	остановите здесь	course_l_2	В пути
готово	готово	course_l_2	В пути
здесь хорошо	здесь хорошо	course_l_2	Завершить
остановите	остановите	course_l_2	Завершить
сдачи не надо	сдачи не надо	course_l_2	Завершить
